ID	m/z	Ion mode	Retention time (min)	SnF2-1	SnF2-2	SnF2-3	NaF-1	NaF-2	NaF-3	control-1	control-2	control-3	Compound ID	Adducts	Formula	Score	Fragmentation Score	¦¤ppm	Metabolites
8.65_375.1322m/z	375.1321936	neg	8.651733333	61.46148658	61.3699638	47.21535466	37.46268057	41.75749108	43.32987474	66.54204289	46.92411008	49.25039312	HMDB0000244	M-H	C17H20N4O6	36	2.86	3.152184529	Octadecane
1.87_225.0882m/z	225.0881657	neg	1.8659	920.4868011	806.525579	821.2482247	770.2098602	708.4122197	595.7500772	990.3647085	924.4879	825.9859493	HMDB0000245	M-H	C10H14N2O4	50.5	59.6	0.376659537	Porphobilinogen
3.24_226.0951n	244.1291791	pos	3.237433333	1661.040444	1335.295753	1379.837755	1624.469625	1313.435554	1287.480043	2165.843143	1605.196233	1634.813466	HMDB0000245	"M+H, M+NH4"	C10H14N2O4	38.4	0	-1.31823521	"Sedoheptulose 1,7-bisphosphate"
3.06_777.6950m/z	777.6950268	pos	3.0552	0	0	42.70254958	15.87589444	12.22345633	0	0	0	46.59991839	HMDB0000248	M+H	C15H11I4NO4	36.4	0	1.352585947	UDP-N-acetylmuraminate
1.20_124.0073m/z	124.0073154	neg	1.197266667	41.82441657	6.736918364	37.91828477	24.12227783	16.82764425	38.77479335	3.995802942	19.55821888	8.007639304	HMDB0000251	M-H	C2H7NO3S	38.2	0	-0.577677789	(S)-Verimol F
8.40_671.4433m/z	671.4433198	pos	8.396266667	1977.799259	1954.604216	1989.403387	1907.930208	1918.439393	1935.390247	2097.92212	2066.644855	1995.44142	HMDB0000253	2M+K	C21H32O2	35.7	0.00378	-0.472390306	"TG(15:0/18:0/20:3(5Z,8Z,11Z))"
1.94_276.1192m/z	276.1192315	pos	1.939283333	40.68428134	10.59175822	37.39646912	20.18940817	17.75321598	19.50080503	45.27853469	27.76322837	18.64581482	HMDB0000267	2M+NH4	C5H7NO3	38.5	0	0.851696379	Pyridoxaminium(1+)
5.34_302.3052m/z	302.3052233	pos	5.337566667	13362.33591	12427.55263	12984.78895	7179.230095	6548.988716	7057.117912	30929.52284	11697.03209	11891.57714	HMDB0000269	M+H	C18H39NO2	43.4	18.1	-0.44006043	C17 Sphinganine
1.97_241.0831m/z	241.0830622	neg	1.969566667	14.49732807	17.37885166	15.67545811	17.24506022	13.181822	12.82523638	11.51665674	16.58349599	13.1469411	HMDB0000273	M-H	C10H14N2O5	37.5	0	0.276946045	2-Dodecenal
1.43_260.1238m/z	260.123802	pos	1.427066667	98.12253128	55.67618901	51.50114465	47.42226937	41.35965668	43.23616499	128.315295	36.79521898	72.72108069	HMDB0000273	M+NH4	C10H14N2O5	37.3	0	-1.219068029	PC(O-6:0/O-6:0)
1.49_597.2622m/z	597.2621592	neg	1.488916667	284.7336528	309.5773705	313.4759519	324.0668505	295.2385736	286.2429997	295.7189124	285.8225994	339.0126902	HMDB0000279	2M+FA-H	C11H20N2O6	37.2	0	-0.572865003	Glutethimide
